id_rec_arrec_detalhe;ano_exercicio;ds_municipio;ds_orgao;mes_referencia;mes_ref_extenso;ds_poder;ds_fonte_recurso;ds_cd_aplicacao_fixo;ds_cd_aplicacao_variavel;ds_categoria;ds_subcategoria;ds_fonte;ds_rubrica;ds_alinea;ds_subalinea;vl_arrecadacao
32411752;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;100 - GERAL TOTAL;28 - CIP/COSIP CONTR CUSTEIO ILUM PUBLICA;10000000 - Receitas Correntes;12000000 - Contribuições;12400000 - Contribuição para o Custeio do Serviço de Iluminação Pública;12400000 - Contribuição para o Custeio do Serviço de Iluminação Pública;12400000 - Contribuição para o Custeio do Serviço de Iluminação Pública;12400011 - Contribuição para o Custeio do Serviço de Iluminação Pública - Principal;1732731,51
32411755;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11100000 - Impostos;11130000 - Impostos sobre a Renda e Proventos de Qualquer Natureza;11130300 - Imposto sobre a Renda - Retido na Fonte;11130311 - Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;1273202,99
32411757;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11100000 - Impostos;11180000 - Impostos Específicos de Estados, DF, Municípios;11180100 - Impostos sobre o Patrimônio para Estados, DF e Municípios;11180111 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;12418330,75
32411758;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11100000 - Impostos;11180000 - Impostos Específicos de Estados, DF, Municípios;11180100 - Impostos sobre o Patrimônio para Estados, DF e Municípios;11180113 - Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa;1951055,38
32411759;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11100000 - Impostos;11180000 - Impostos Específicos de Estados, DF, Municípios;11180100 - Impostos sobre o Patrimônio para Estados, DF e Municípios;11180141 - Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal;1273200,99
32411760;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11100000 - Impostos;11180000 - Impostos Específicos de Estados, DF, Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180231 - Imposto sobre Serviços de Qualquer Natureza - Principal;8530491,90
32411762;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11100000 - Impostos;11180000 - Impostos Específicos de Estados, DF, Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180233 - Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa;259482,03
32411763;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11200000 - Taxas;11280000 - Taxas - Específicas de Estados, DF, Municípios;11280100 - Taxas de Inspeção, Controle e Fiscalização;11280191 - Taxas de Inspeção, Controle e Fiscalização - Outras - Principal;255186,41
32411766;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;12000000 - Contribuições;12400000 - Contribuição para o Custeio do Serviço de Iluminação Pública;12400000 - Contribuição para o Custeio do Serviço de Iluminação Pública;12400000 - Contribuição para o Custeio do Serviço de Iluminação Pública;12400011 - Contribuição para o Custeio do Serviço de Iluminação Pública - Principal;742599,23
32411767;2021;Cotia;PREFEITURA MUNICIPAL DE COTIA;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;13000000 - Receita Patrimonial;13100000 - Exploração do Patrimônio Imobiliário do Estado;13100000 - Exploração do Patrimônio Imobiliário do Estado;13100100 - Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação;13100111 - Aluguéis e Arrendamentos - Principal;19822,12
